"Email reports","Raporty e-mailem"
"Separate addresses by a space.","Oddziel adresy przerwą."
"INCOMPLETE MODULE INSTALLATION","NIEKOMPLETNA INSTALACJA MODUŁU"
"There is conflict (<em>%s</em>).","Pojawił się błąd (<em lang=""en"">%s</em>)."
"%d minute","%d minuta"
"%d minutes","%d minut"
"Duration","Trwanie"
" Created At","Utworzono"
"Duration: %s","Trwanie: %s"
" Created At: %s","Utworzono: %s"
" Enabled","Włączona"
" Disabled","Wyłączona"
"Status: %s (%s)","Status: %s (<span lang=""en"">%s</span>)"
"Can not send the report by email to %s.","Jest niemożliwością wysłania raportu e-mailem do %s."
" monthly","co miesiąc"
" weekly","co tydzień"
" daily","codziennie"
"%d days","%d dni"
"%d days (%d weeks)","%d dni (%d tygodni)"
"%d days (%d month)","%d dni (%d miesiąc)"
"%d days (%d months)","%d dni (%d miesięcy)"
