"Cron jobs","Compiti cron"
"Cron jobs report","Rapporto dei compiti cron"
"History lifetime","Durata di vita della cronologia"
"Replaces the history lifetime of the cron jobs (see {{System/Cron}}).","Sostituisci la durata di vita della cronologia dei compiti cron (vedere {{Sistema/Cron}})."
"Number of jobs per page","Numero di compiti per pagina"
"Use a text filter","Utilizzare un filtro testo"
"Number of jobs","Numero di compiti"
"Table size","Dimensione della tavola"
"Email reports","Rapporti via email"
"Separate addresses by a space.","Separare gli indirizzi con uno spazio."
"Send an email now","Invia un'email adesso"
"See {{Cron jobs}}.","Vedere {{Compiti cron}}."
"INCOMPLETE MODULE INSTALLATION","INSTALLAZIONE INCOMPLETA DEL MODULO"
"Manage cron jobs","Gestire i compiti cron"
"New cron job","Nuovo compito cron"
"Job","Compito"
"Scheduled into","Programmato nel"
"%d minute","%d minuto"
"%d minutes","%d minuti"
" Created At","Creato il"
" Scheduled At","Programmato il"
" Executed At","Eseguito il"
" Finished At","Terminato il"
"Duration","Durata"
"Running","In corso"
" Error","Errore"
"Missed","Perso"
" Success","Terminato"
"Cron job number %d - %s","Compito cron numero %d - %s"
"Restart the job","Ricominciare il compito"
" Created At: %s","Creato il: %s"
" Scheduled At: %s","Programmato il: %s"
" Executed At: %s","Eseguito il: %s"
" Finished At: %s","Terminato il: %s"
"Duration: %s","Durata: %s"
"Status: <span %s>%s</span>","Stato: <span %s>%s</span>"
"Code: %s","Codice: %s"
"Module name","Nome del modulo"
"Editable job","Compito modificable"
" Enabled","Abilitato"
" Disabled","Disabilitato"
"Read-only job","Compito in sola lettura"
" monthly","mensile"
" weekly","settimanale"
" daily","giornaliero"
"Job %d: %s","Compito %d: %s"
"Status: %s (%s)","Stato: %s (<span lang=""en"">%s</span>)"
"Can not send the report by email to %s.","Impossibile inviare il rapporto via email a %s."
"%d days","%d giorni"
" %d days (%d weeks)","%d giorni (%d settimana)"
"%d days (%d weeks)","%d giorni (%d settimana)"
"%d days (%d month)","%d giorni (%d mese)"
" %d days (%d months)","%d giorni (%d mesi)"
"%d days (%d months)","%d giorni (%d mesi)"
"The <em>%s</em> field is a required field.","Il campo <em>%s</em> è un campo obbligatorio."
"Job number %d has been successfully scheduled.","Il compito numero %d è stato programmato con successo."
"Job number %d has been successfully canceled.","Il compito numero %d è stato annullato con successo."
"Job number %d has been successfully deleted.","Il compito numero %d è stato cancellato con successo."
"Job <strong>%s</strong> has been successfully <strong>enabled</strong>.","Il compito <strong>%s</strong> è stato <strong>abilitato</strong>."
"Job <strong>%s</strong> has been successfully <strong>disabled</strong>.","Il compito <strong>%s</strong> è stato <strong>disabilitato</strong>."
