"Cron jobs","Kron-Tasks"
"Cron jobs report","Bericht der Kron-Tasks"
"History lifetime","Lebensdauer des History Speichers"
"Replaces the history lifetime of the cron jobs (see {{System/Cron}}).","Ersetzt die Lebensdauer des History Speichers der Kron-Tasks (siehe {{System/Cron}})."
"Number of jobs per page","Taskanzahl pro Seite"
"Number of jobs","Taskanzahl"
"Table size","Tabellengröße"
"Email reports","Berichte pro E-Mail"
"Send an email now","Jetzt eine E-Mail senden"
"See {{Cron jobs}}.","Siehe {{Kron-Tasks}}."
"Manage cron jobs","Kron-Tasks verwalten"
"New cron job","Neue Kron-Task"
"Job","Task"
"Scheduled into","Programmiert in"
"%d minute","%d Minute"
"%d minutes","%d Minuten"
" Created At","Entstanden am"
" Scheduled At","Programmiert am"
" Executed At","Ausgeführt am"
" Finished At","Beendet am"
"Duration","Dauer"
"Running","Im Lauf"
" Error","In Fehler"
"Missed","Verpasst"
" Success","Beendet"
"Cron job number %d - %s","Kron-Task-Nummer %d - %s"
"Restart the job","Task in Gang bringen"
" Created At: %s","Entstanden am: %s"
" Scheduled At: %s","Programmiert am: %s"
" Executed At: %s","Ausgeführt am: %s"
" Finished At: %s","Beendet am: %s"
"Duration: %s","Dauer: %s"
"Status: <span %s>%s</span>","Zustand: <span %s>%s</span>"
"Module name","Name des Moduls"
" Enabled","Aktiviert"
" Disabled","Deaktiviert"
"Job %d: %s","Task %d: %s"
"Status: %s (%s)","Zustand: %s (<span lang=""en"">%s</span>)"
" monthly","monatlich"
" weekly","wöchentlich"
" daily","täglich"
"Can not send the report by email to %s.","Unmöglich den Bericht per E-Mail zu senden bei %s."
"%d days","%d Tage"
" %d days (%d weeks)","%d Tage (%d Wochen)"
"%d days (%d weeks)","%d Tage (%d Wochen)"
"%d days (%d month)","%d Tage (%d Monat)"
" %d days (%d months)","%d Tage (%d Monate)"
"%d days (%d months)","%d Tage (%d Monate)"
"Job number %d has been successfully scheduled.","Die Task Nummer %d wurde programmiert."
"Job number %d has been successfully canceled.","Die Task Nummer %d wurde aufgehoben."
"Job number %d has been successfully deleted.","Die Task Nummer %d wurde gelöscht."
"Job <strong>%s</strong> has been successfully <strong>enabled</strong>.","Die Task <strong>%s</strong> wurde <strong>aktiviert</strong>."
"Job <strong>%s</strong> has been successfully <strong>disabled</strong>.","Die Task <strong>%s</strong> wurde <strong>deaktiviert</strong>."
