"Cron jobs","Tarefas cron"
"Cron jobs report","Relatório das tarefas cron"
"History lifetime","Tempo de vida do histórico"
"Replaces the history lifetime of the cron jobs (see {{System/Cron}}).","Substitui o tempo de vida do histórico das tarefas cron (ver {{Sistema/Cron}})."
"Number of jobs per page","Número de tarefas por página"
"Number of jobs","Número de tarefas"
"Table size","Tamanho da mesa"
"Email reports","Relatórios por e-mail"
"Send an email now","Enviar e-mail agora"
"See {{Cron jobs}}.","Ver {{Tarefas cron}}."
"INCOMPLETE MODULE INSTALLATION","INSTALACAO INCOMPLETA DO MODULO"
"There is conflict (<em>%s</em>).","Há um conflicto (<em lang=""en"">%s</em>)."
"Manage cron jobs","Gerir as tarefas cron"
"New cron job","Nova tarefa cron"
"Job","Tarefa"
"Scheduled into","Programada em"
"%d minute","%d minuto"
"%d minutes","%d minutos"
" Created At","Criada a"
" Scheduled At","Programada a"
" Executed At","Executada a"
" Finished At","Concluída a"
"Duration","Duração"
"Running","Em processo"
" Error","Erro"
"Missed","Perdida"
" Success","Concluída"
"Cron job number %d - %s","Tarefa cron número %d - %s"
"Restart the job","Reiniciar a tarefa"
"Run the job","Iniciar a tarefa"
" Created At: %s","Criada a: %s"
" Scheduled At: %s","Programada a: %s"
" Executed At: %s","Executada a: %s"
" Finished At: %s","Concluída a: %s"
"Duration: %s","Duração: %s"
"Status: <span %s>%s</span>","Estado: <span %s>%s</span>"
"Code: %s","Código: %s"
"Module name","Nome do módulo"
" Enabled","Ativa"
" Disabled","Inativa"
"Job %d: %s","Tarefa %d: %s"
"Status: %s (%s)","Estado: %s (<span lang=""en"">%s</span>)"
" monthly","mensal"
" weekly","semanal"
" daily","diário"
"Can not send the report by email to %s.","Impossível enviar o relatório por e-mail a %s."
"%d days","%d dias"
" %d days (%d weeks)","%d dias (%d semanas)"
"%d days (%d weeks)","%d dias (%d semanas)"
"%d days (%d month)","%d dias (%d mês)"
" %d days (%d months)","%d dias (%d meses)"
"%d days (%d months)","%d dias (%d meses)"
"Job number %d has been successfully scheduled.","A tarefa número %d foi bem programada."
"Job number %d has been successfully started.","A tarefa número %d foi bem iniciada."
"Job number %d has been successfully canceled.","A tarefa número %d foi bem cancelada."
"Job number %d has been successfully deleted.","A tarefa número %d foi bem apagada."
"Job <strong>%s</strong> has been successfully <strong>enabled</strong>.","A tarefa <strong>%s</strong> foi bem <strong>ativada</strong>."
"Job <strong>%s</strong> has been successfully <strong>disabled</strong>.","A tarefa <strong>%s</strong> foi bem <strong>desativada</strong>."
